paises;fecha;deficit_millones;deficit_pbi;deuda_millones;deuda_pbi;deuda_per_capita
Marshall Islands;2020;6;2,54;52;21,67;1.182
North Macedonia;2020;-997;-8,05;6.297;50,85;3.044
Mali;2020;-948;-5,42;8.279;47,33;381
Myanmar;2020;-4.309;-6,57;31.975;48,72;595
Mongolia;2020;-1.230;-9,24;11.102;83,39;3.306
Mauritania;2020;236;2,78;4.781;56,49;1.039
Malta;2020;-1.430;-8,7;7.968;48,8;15.439
Mauritius;2020;-1.212;-9,14;10.658;80,4;8.419
Maldives;2020;-878;-23,7;5.769;155,67;15.262
Malawi;2020;-952;-8,03;6.381;53,86;306
Mexico;2020;-48.095;-4,29;655.334;58,46;5.111
Malaysia;2020;-16.541;-4,9;228.434;67,69;7.040
Mozambique;2020;-881;-6,19;17.077;119,97;555
Namibia;2020;-854;-8,07;6.805;64,3;2.531
Niger;2020;-663;-4,82;6.190;44,97;256
Nigeria;2020;-24.103;-4,03;154.008;25,72;720
Nicaragua;2020;-327;-2,57;6.258;49,16;946
Netherlands;2020;-34.634;-3,7;497.739;53,4;28.482
Norway;2020;-9.410;-2,6;169.208;46,03;31.385
Nepal;2020;-1.793;-5,36;14.479;43,31;500
Nauru;2020;54;42,81;71;56,27;5.880
New Zealand;2020;-9.150;-4,35;91.041;43,24;17.964
Oman;2020;-11.899;-15,67;51.545;67,9;11.596
Panama;2020;-5.822;-10,2;35.104;61,52;8.204
Peru;2020;-17.138;-8,16;72.002;34,29;2.207
Papua New Guinea;2020;-2.111;-8,85;11.609;48,68;1.034
Philippines;2020;-20.061;-5,55;186.821;51,64;1.711
Pakistan;2020;-21.124;-7,03;242.746;80,81;1.112
Poland;2020;-41.525;-6,9;342.863;56,6;9.248
State of Palestine;2020;-1.145;-7,37;7.313;47,08;1.434
Palau;2020;-34;-13,02;135;52,08;7.500
Paraguay;2020;-2.026;-5,72;13.074;36,9;1.993
Taste;2020;-3.081;-2,13;104.863;72,61;37.002
Romania;2020;-24.082;-9,3;124.318;46,9;6.474
Serbia;2020;-3.863;-6,91;30.354;54,33;4.417
Russia;2020;-59.357;-3,99;285.066;19,16;1.930
Rwanda;2020;-971;-9,54;6.991;68,71;552
Saudi Arabia;2020;-78.419;-10,22;227.604;29,66;7.213
Solomon Islands;2020;-37;-2,44;197;12,84;265
